NPC名	X座標	Y座標	★
許昌	1180	0	★8
青龍大砦	850	0	★7
三碧砦	1140	-225	★6
震宮砦	1140	225	★6
許昌：南西砦100	1096	-72	★4
許昌：南西砦115	1168	-60	★5
許昌：南西砦116	1144	-60	★5
許昌：南西砦117	1132	-60	★5
許昌：南西砦118	1120	-60	★5
許昌：南西砦130	1120	-12	★5
許昌：南西砦131	1120	-36	★5
許昌：南西砦132	1120	-48	★5
許昌：南西砦24	1168	-108	★3
許昌：南西砦25	1144	-108	★3
許昌：南西砦26	1132	-108	★3
許昌：南西砦27	1120	-108	★3
許昌：南西砦28	1096	-108	★3
許昌：南西砦29	1084	-108	★3
許昌：南西砦30	1072	-108	★3
許昌：南西砦51	1072	-12	★3
許昌：南西砦52	1072	-36	★3
許昌：南西砦53	1072	-48	★3
許昌：南西砦54	1072	-60	★3
許昌：南西砦55	1072	-84	★3
許昌：南西砦56	1072	-96	★3
許昌：南西砦75	1168	-84	★4
許昌：南西砦76	1156	-84	★4
許昌：南西砦77	1144	-84	★4
許昌：南西砦78	1120	-84	★4
許昌：南西砦79	1108	-84	★4
許昌：南西砦80	1096	-84	★4
許昌：南西砦96	1096	-12	★4
許昌：南西砦97	1096	-24	★4
許昌：南西砦98	1096	-36	★4
許昌：南西砦99	1096	-60	★4
許昌：南東砦110	1240	-60	★5
許昌：南東砦111	1228	-60	★5
許昌：南東砦112	1216	-60	★5
許昌：南東砦113	1192	-60	★5
許昌：南東砦114	1180	-60	★5
許昌：南東砦123	1240	-12	★5
許昌：南東砦124	1240	-36	★5
許昌：南東砦125	1240	-48	★5
許昌：南東砦16	1288	-108	★3
許昌：南東砦17	1276	-108	★3
許昌：南東砦18	1264	-108	★3
許昌：南東砦19	1240	-108	★3
許昌：南東砦20	1228	-108	★3
許昌：南東砦21	1216	-108	★3
許昌：南東砦22	1192	-108	★3
許昌：南東砦23	1180	-108	★3
許昌：南東砦38	1288	-12	★3
許昌：南東砦39	1288	-36	★3
許昌：南東砦40	1288	-48	★3
