npc_name,strategy_status,level,base1_x,base1_y,base2_x,base2_y,adjacency,lord_name,scheduled_time,comment,updated_by,event_id
許昌,未攻略,8,1180,0,,,,,,,,e1
青龍大砦,未攻略,7,850,0,,,,,,,,e1
三碧砦,未攻略,6,1140,-225,,,,,,,,e1
震宮砦,未攻略,6,1140,225,,,,,,,,e1
許昌：南西砦100,未攻略,4,1096,-72,,,,,,,,e1
許昌：南西砦115,未攻略,5,1168,-60,,,,,,,,e1
許昌：南西砦116,未攻略,5,1144,-60,,,,,,,,e1
許昌：南西砦117,未攻略,5,1132,-60,,,,,,,,e1
許昌：南西砦118,未攻略,5,1120,-60,,,,,,,,e1
許昌：南西砦130,未攻略,5,1120,-12,,,,,,,,e1
許昌：南西砦131,未攻略,5,1120,-36,,,,,,,,e1
許昌：南西砦132,未攻略,5,1120,-48,,,,,,,,e1
許昌：南西砦24,未攻略,3,1168,-108,,,,,,,,e1
許昌：南西砦25,未攻略,3,1144,-108,,,,,,,,e1
許昌：南西砦26,未攻略,3,1132,-108,,,,,,,,e1
許昌：南西砦27,未攻略,3,1120,-108,,,,,,,,e1
許昌：南西砦28,未攻略,3,1096,-108,,,,,,,,e1
許昌：南西砦29,未攻略,3,1084,-108,,,,,,,,e1
許昌：南西砦30,未攻略,3,1072,-108,,,,,,,,e1
許昌：南西砦51,未攻略,3,1072,-12,,,,,,,,e1
許昌：南西砦52,未攻略,3,1072,-36,,,,,,,,e1
許昌：南西砦53,未攻略,3,1072,-48,,,,,,,,e1
許昌：南西砦54,未攻略,3,1072,-60,,,,,,,,e1
許昌：南西砦55,未攻略,3,1072,-84,,,,,,,,e1
許昌：南西砦56,未攻略,3,1072,-96,,,,,,,,e1
許昌：南西砦75,未攻略,4,1168,-84,,,,,,,,e1
許昌：南西砦76,未攻略,4,1156,-84,,,,,,,,e1
許昌：南西砦77,未攻略,4,1144,-84,,,,,,,,e1
許昌：南西砦78,未攻略,4,1120,-84,,,,,,,,e1
許昌：南西砦79,未攻略,4,1108,-84,,,,,,,,e1
許昌：南西砦80,未攻略,4,1096,-84,,,,,,,,e1
許昌：南西砦96,未攻略,4,1096,-12,,,,,,,,e1
許昌：南西砦97,未攻略,4,1096,-24,,,,,,,,e1
許昌：南西砦98,未攻略,4,1096,-36,,,,,,,,e1
許昌：南西砦99,未攻略,4,1096,-60,,,,,,,,e1
許昌：南東砦110,未攻略,5,1240,-60,,,,,,,,e1
許昌：南東砦111,未攻略,5,1228,-60,,,,,,,,e1
許昌：南東砦112,未攻略,5,1216,-60,,,,,,,,e1
許昌：南東砦113,未攻略,5,1192,-60,,,,,,,,e1
許昌：南東砦114,未攻略,5,1180,-60,,,,,,,,e1
許昌：南東砦123,未攻略,5,1240,-12,,,,,,,,e1
許昌：南東砦124,未攻略,5,1240,-36,,,,,,,,e1
許昌：南東砦125,未攻略,5,1240,-48,,,,,,,,e1
許昌：南東砦16,未攻略,3,1288,-108,,,,,,,,e1
許昌：南東砦17,未攻略,3,1276,-108,,,,,,,,e1
