NPC名	X座標	Y座標	★
洛陽	0	0	★9
許昌	1100	1100	★8
建業	1100	-1100	★8
成都	-1100	-1100	★8
長安	-1100	1100	★8
鄴	0	1180	★8
下邳	1180	0	★8
長沙	0	-1180	★8
天水	-1180	0	★8
玄武大砦	0	850	★7
青龍大砦	850	0	★7
朱雀大砦	0	-850	★7
白虎大砦	-850	0	★7
霊亀大砦	575	575	★7
応龍大砦	575	-575	★7
麒麟大砦	-575	-575	★7
鳳凰大砦	-575	575	★7
坎宮砦	-225	1140	★6
一白砦	225	1140	★6
艮宮砦	780	1100	★6
八白砦	1100	780	★6
震宮砦	1140	225	★6
三碧砦	1140	-225	★6
巽宮砦	1100	-780	★6
四緑砦	780	-1100	★6
離宮砦	225	-1140	★6
九紫砦	-225	-1140	★6
坤宮砦	-1100	-780	★6
二黒砦	-780	-1100	★6
兌宮砦	-1140	-225	★6
七赤砦	-1140	225	★6
乾宮砦	-1100	780	★6
六白砦	-780	1100	★6
洛陽：北東砦1	180	180	★1
洛陽：北東砦2	168	180	★1
洛陽：北東砦3	156	180	★1
洛陽：北東砦4	132	180	★1
洛陽：北東砦5	120	180	★1
洛陽：北東砦6	108	180	★1
洛陽：北東砦7	84	180	★1
洛陽：北東砦8	72	180	★1
洛陽：北東砦9	60	180	★1
洛陽：北東砦10	36	180	★1
洛陽：北東砦11	24	180	★1
洛陽：北東砦12	12	180	★1
洛陽：北西砦13	-12	180	★1
洛陽：北西砦14	-24	180	★1
洛陽：北西砦15	-36	180	★1
洛陽：北西砦16	-60	180	★1
洛陽：北西砦17	-72	180	★1
洛陽：北西砦18	-84	180	★1
洛陽：北西砦19	-108	180	★1
洛陽：北西砦20	-120	180	★1
洛陽：北西砦21	-132	180	★1
洛陽：北西砦22	-156	180	★1
洛陽：北西砦23	-168	180	★1
洛陽：北西砦24	-180	180	★1
洛陽：南東砦25	180	-180	★1
洛陽：南東砦26	168	-180	★1
洛陽：南東砦27	156	-180	★1
洛陽：南東砦28	132	-180	★1
洛陽：南東砦29	120	-180	★1
洛陽：南東砦30	108	-180	★1
洛陽：南東砦31	84	-180	★1
洛陽：南東砦32	72	-180	★1
洛陽：南東砦33	60	-180	★1
洛陽：南東砦34	36	-180	★1
洛陽：南東砦35	24	-180	★1
洛陽：南東砦36	12	-180	★1
洛陽：南西砦37	-12	-180	★1
洛陽：南西砦38	-24	-180	★1
洛陽：南西砦39	-36	-180	★1
洛陽：南西砦40	-60	-180	★1
洛陽：南西砦41	-72	-180	★1
洛陽：南西砦42	-84	-180	★1
洛陽：南西砦43	-108	-180	★1
洛陽：南西砦44	-120	-180	★1
洛陽：南西砦45	-132	-180	★1
洛陽：南西砦46	-156	-180	★1
洛陽：南西砦47	-168	-180	★1
洛陽：南西砦48	-180	-180	★1
洛陽：北東砦49	180	168	★1
洛陽：北東砦50	180	156	★1
洛陽：北東砦51	180	132	★1
洛陽：北東砦52	180	120	★1
洛陽：北東砦53	180	108	★1
洛陽：北東砦54	180	84	★1
洛陽：北東砦55	180	72	★1
洛陽：北東砦56	180	60	★1
洛陽：北東砦57	180	36	★1
洛陽：北東砦58	180	24	★1
洛陽：北東砦59	180	12	★1
洛陽：南東砦60	180	-12	★1
洛陽：南東砦61	180	-24	★1
洛陽：南東砦62	180	-36	★1
洛陽：南東砦63	180	-60	★1
洛陽：南東砦64	180	-72	★1
洛陽：南東砦65	180	-84	★1
洛陽：南東砦66	180	-108	★1
洛陽：南東砦67	180	-120	★1
洛陽：南東砦68	180	-132	★1
