id,npc_name,strategy_status,level,base1_x,base1_y,base2_x,base2_y,adjacency,lord_name,scheduled_time,comment,updated_by,event_id,created_at,conquered,conqueror_type,adjacent_own,adjacent_other
1,許昌,未攻略,8,1180,0,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
2,青龍大砦,未攻略,7,850,0,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
3,三碧砦,未攻略,6,1140,-225,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
4,震宮砦,未攻略,6,1140,225,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
5,許昌：南西砦100,未攻略,4,1096,-72,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
6,許昌：南西砦115,未攻略,5,1168,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
7,許昌：南西砦116,未攻略,5,1144,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
8,許昌：南西砦117,未攻略,5,1132,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
9,許昌：南西砦118,未攻略,5,1120,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
10,許昌：南西砦130,未攻略,5,1120,-12,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
11,許昌：南西砦131,未攻略,5,1120,-36,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
12,許昌：南西砦132,未攻略,5,1120,-48,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
13,許昌：南西砦24,未攻略,3,1168,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
14,許昌：南西砦25,未攻略,3,1144,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
15,許昌：南西砦26,未攻略,3,1132,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
16,許昌：南西砦27,未攻略,3,1120,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
17,許昌：南西砦28,未攻略,3,1096,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
18,許昌：南西砦29,未攻略,3,1084,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
19,許昌：南西砦30,未攻略,3,1072,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
20,許昌：南西砦51,未攻略,3,1072,-12,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
21,許昌：南西砦52,未攻略,3,1072,-36,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
22,許昌：南西砦53,未攻略,3,1072,-48,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
23,許昌：南西砦54,未攻略,3,1072,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
24,許昌：南西砦55,未攻略,3,1072,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
25,許昌：南西砦56,未攻略,3,1072,-96,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
26,許昌：南西砦75,未攻略,4,1168,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
27,許昌：南西砦76,未攻略,4,1156,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
28,許昌：南西砦77,未攻略,4,1144,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
29,許昌：南西砦78,未攻略,4,1120,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
30,許昌：南西砦79,未攻略,4,1108,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
31,許昌：南西砦80,未攻略,4,1096,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
32,許昌：南西砦96,未攻略,4,1096,-12,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
33,許昌：南西砦97,未攻略,4,1096,-24,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
34,許昌：南西砦98,未攻略,4,1096,-36,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
35,許昌：南西砦99,未攻略,4,1096,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
36,許昌：南東砦110,未攻略,5,1240,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
37,許昌：南東砦111,未攻略,5,1228,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
38,許昌：南東砦112,未攻略,5,1216,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
39,許昌：南東砦113,未攻略,5,1192,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
40,許昌：南東砦114,未攻略,5,1180,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
41,許昌：南東砦123,未攻略,5,1240,-12,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
42,許昌：南東砦124,未攻略,5,1240,-36,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
43,許昌：南東砦125,未攻略,5,1240,-48,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
44,許昌：南東砦16,未攻略,3,1288,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
45,許昌：南東砦17,未攻略,3,1276,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
46,許昌：南東砦18,未攻略,3,1264,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
47,許昌：南東砦19,未攻略,3,1240,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
48,許昌：南東砦20,未攻略,3,1228,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
49,許昌：南東砦21,未攻略,3,1216,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
50,許昌：南東砦22,未攻略,3,1192,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
51,許昌：南東砦23,未攻略,3,1180,-108,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
52,許昌：南東砦38,未攻略,3,1288,-12,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
53,許昌：南東砦39,未攻略,3,1288,-36,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
54,許昌：南東砦40,未攻略,3,1288,-48,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
55,許昌：南東砦41,未攻略,3,1288,-60,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
56,許昌：南東砦42,未攻略,3,1288,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
57,許昌：南東砦43,未攻略,3,1288,-96,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
58,許昌：南東砦69,未攻略,4,1264,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
59,許昌：南東砦70,未攻略,4,1252,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
60,許昌：南東砦71,未攻略,4,1240,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
61,許昌：南東砦72,未攻略,4,1216,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
62,許昌：南東砦73,未攻略,4,1204,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
63,許昌：南東砦74,未攻略,4,1192,-84,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
64,許昌：南東砦86,未攻略,4,1264,-12,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
65,許昌：南東砦87,未攻略,4,1264,-24,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
66,許昌：南東砦88,未攻略,4,1264,-36,,,,,,,,e1,2026-02-22 15:20:27.828105+00,,,,
