id,npc_name,strategy_status,level,base1_x,base1_y,base2_x,base2_y,adjacency,lord_name,scheduled_time,comment,updated_by,event_id,created_at,conquered,conqueror_type,adjacent_own,adjacent_other
1,洛陽,失,9,0,0,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,5
2,許昌,攻略済,8,1100,1100,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,4,2
3,建業,攻略済,8,1100,-1100,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,1
4,成都,攻略済,8,-1100,-1100,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
5,長安,攻略済,8,-1100,1100,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,4,1
6,鄴,攻略済,8,0,1180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,3,2
7,下邳,攻略済,8,1180,0,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,4,3
8,長沙,攻略済,8,0,-1180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
9,天水,攻略済,8,-1180,0,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
10,玄武大砦,攻略済,7,0,850,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,8,0
11,青龍大砦,攻略済,7,850,0,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,5,3
12,朱雀大砦,攻略済,7,0,-850,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,0
13,白虎大砦,失,7,-850,0,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
14,霊亀大砦,攻略済,7,575,575,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,1
15,応龍大砦,攻略済,7,575,-575,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,8,0
16,麒麟大砦,失,7,-575,-575,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,1,1
17,鳳凰大砦,攻略済,7,-575,575,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,8,0
18,坎宮砦,攻略済,6,-225,1140,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
19,一白砦,攻略済,6,225,1140,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,1
20,艮宮砦,攻略済,6,780,1100,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,2
21,八白砦,攻略済,6,1100,780,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,2
22,震宮砦,攻略済,6,1140,225,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,8,0
23,三碧砦,攻略済,6,1140,-225,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,1
24,巽宮砦,攻略済,6,1100,-780,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,3,0
25,四緑砦,攻略済,6,780,-1100,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,1
26,離宮砦,失,6,225,-1140,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
27,九紫砦,失,6,-225,-1140,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
28,坤宮砦,失,6,-1100,-780,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
