地域,X,Y,種別,名称,★,MAP,自動出兵SC,備考
北西,-1279,1280,砦(em6),北西砦1442,★2,https://c2.3gokushi.jp/map.php?x=-1279&y=1280,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1279&y=1280,
北西,-1236,1280,砦(em6),北西砦1389,★3,https://c2.3gokushi.jp/map.php?x=-1236&y=1280,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1236&y=1280,
北西,-788,1280,砦(em6),北西砦928,★1,https://c2.3gokushi.jp/map.php?x=-788&y=1280,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-788&y=1280,
北西,-707,1280,砦(cw2),北西砦818,★5,https://c2.3gokushi.jp/map.php?x=-707&y=1280,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-707&y=1280,
北西,-574,1280,砦(em6),北西砦660,★1,https://c2.3gokushi.jp/map.php?x=-574&y=1280,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-574&y=1280,
北西,-442,1280,砦(cw2),北西砦495,★1,https://c2.3gokushi.jp/map.php?x=-442&y=1280,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-442&y=1280,
北西,-1184,1279,砦(cw2),北西砦1337,★3,https://c2.3gokushi.jp/map.php?x=-1184&y=1279,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1184&y=1279,
北西,-922,1279,砦(em6),北西砦1091,★2,https://c2.3gokushi.jp/map.php?x=-922&y=1279,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-922&y=1279,
北西,-789,1279,砦(cw2),北西砦923,★2,https://c2.3gokushi.jp/map.php?x=-789&y=1279,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-789&y=1279,
北西,-746,1279,砦(em6),北西砦876,★1,https://c2.3gokushi.jp/map.php?x=-746&y=1279,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-746&y=1279,
北西,-486,1279,砦(cw2),北西砦553,★3,https://c2.3gokushi.jp/map.php?x=-486&y=1279,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-486&y=1279,
北西,-481,1279,砦(em6),北西砦558,★5,https://c2.3gokushi.jp/map.php?x=-481&y=1279,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-481&y=1279,
北西,-1145,1278,砦(cw2),北西砦1300,★4,https://c2.3gokushi.jp/map.php?x=-1145&y=1278,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1145&y=1278,
北西,-1097,1278,砦(em6),北西砦1273,★3,https://c2.3gokushi.jp/map.php?x=-1097&y=1278,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1097&y=1278,
北西,-1011,1278,砦(em6),北西砦1196,★1,https://c2.3gokushi.jp/map.php?x=-1011&y=1278,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1011&y=1278,
北西,-881,1278,砦(cw2),北西砦1031,★4,https://c2.3gokushi.jp/map.php?x=-881&y=1278,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-881&y=1278,
北西,-879,1278,砦(em6),北西砦1036,★2,https://c2.3gokushi.jp/map.php?x=-879&y=1278,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-879&y=1278,
北西,-664,1278,砦(cw2),北西砦760,★2,https://c2.3gokushi.jp/map.php?x=-664&y=1278,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-664&y=1278,
北西,-1055,1277,砦(cw2),北西砦1234,★3,https://c2.3gokushi.jp/map.php?x=-1055&y=1277,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1055&y=1277,
北西,-747,1277,砦(cw2),北西砦871,★2,https://c2.3gokushi.jp/map.php?x=-747&y=1277,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-747&y=1277,
北西,-708,1277,砦(em6),北西砦823,★3,https://c2.3gokushi.jp/map.php?x=-708&y=1277,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-708&y=1277,
